     1,     1,     0.00000,   -17.63668
     1,     7,     0.00000,    16.76213
     2,     2,     0.00000,   -16.00000
     2,     8,     0.00000,    15.20661
     3,     3,     0.00000,   -17.06484
     3,     9,     0.00000,    16.21865
     4,     4,     2.55279,   -17.25873
     4,     7,    -1.36519,    11.60410
     4,     8,    -1.18760,     5.97513
     5,     5,     3.22420,   -15.86993
     5,     7,    -1.94219,    10.51068
     5,     9,    -1.28201,     5.58824
     6,     6,     2.77221,   -23.19275
     6,     8,    -1.61712,    13.69798
     6,     9,    -1.15509,     9.78427
     7,     1,     0.00000,    16.76213
     7,     4,    -1.36519,    11.60410
     7,     5,    -1.94219,    10.51068
     7,     7,     3.30738,   -37.96223
     8,     2,     0.00000,    15.20661
     8,     4,    -1.18760,     5.97513
     8,     6,    -1.61712,    13.69798
     8,     8,     2.80473,   -34.01192
     9,     3,     0.00000,    16.21865
     9,     5,    -1.28201,     5.58824
     9,     6,    -1.15509,     9.78427
     9,     9,     2.43710,   -30.64519
